diario,id_news,snippet,category,time,title,year,tokens-headline,tokens-snippet,tokens-headline-stopwords-stemming,tokens-headline-stopwords,tokens-headline-stemming,tokens-snippet-stopwords-stemming,tokens-snippet-stopwords,tokens-snippet-stemming
El Comercio,ecuador_elcomercio_2015_78,"Aulestia menciono que la depreciacion de peso colombiano implica que para ellos es mas costoso comprar en Ecuador, pero mas barato venderle. ""Es por eso ...",economi,18 ago. 2015,Tulcan fue declarada zona deprimida por la baja del comercio,2015.0,tulcan fue declarada zona deprimida por baja del comercio,aulestia menciono que depreciacion peso colombiano implica que para ellos mas costoso comprar ecuador pero mas barato venderle por eso,tulc declar zon deprim baj comerci,tulcan declarada zona deprimida baja comercio,tulc fue declar zon deprim por baj del comerci,aulesti mencion depreciacion pes colombian implic par mas costos compr per mas barat vend,aulestia menciono depreciacion peso colombiano implica mas costoso comprar mas barato venderle,aulesti mencion que depreciacion pes colombian implic que par ellos mas costos compr ecuador per mas barat vend por eso
El Comercio (Ecuador),ecuador_elcomercio_2017_67,La Seleccion de Ecuador Sub 20 arribo a Incheon (Corea del Sur) el martes 16 de mayo luego de un viaje de 30 horas aproximadamente con una escala en ...,sport,16 May. 2017,La Seleccion Sub 20 de Ecuador ya es huesped de Corea,2017.0,seleccion sub ecuador huesped corea,seleccion ecuador sub arribo incheon corea del sur martes mayo luego viaje horas aproximadamente con una escala,seleccion sub huesp core,seleccion sub huesped corea,seleccion sub ecuador huesp core,seleccion sub arrib incheon core sur mart may lueg viaj hor aproxim escal,seleccion sub arribo incheon corea sur martes mayo luego viaje horas aproximadamente escala,seleccion ecuador sub arrib incheon core del sur mart may lueg viaj hor aproxim con una escal
El Universo,ecuador_eluniverso_2018_19,"Se trata de 'Brayan', integrante de la red vinculada a la violencia en la frontera entre Ecuador y Colombia, cuyos atentados se registran desde enero pasado.",crime,18 abr. 2018,"Capturan en Colombia a 'Brayan', lugarteniente de 'Guacho'",2018.0,capturan colombia brayan lugarteniente guacho,trata brayan integrante red vinculada violencia frontera entre ecuador colombia cuyos atentados registran desde enero pasado,captur colombi bray lugartenient guach,capturan colombia brayan lugarteniente guacho,captur colombi bray lugartenient guach,trat bray integr red vincul violenci fronter colombi cuy atent registr desd ener pas,trata brayan integrante red vinculada violencia frontera colombia cuyos atentados registran enero pasado,trat bray integr red vincul violenci fronter entre ecuador colombi cuy atent registr desd ener pas
El Universo,,La diabetes mellitus tipo II es una enfermedad cronica del pancreas cuyas complicaciones provocan miles de muertes cada ano en Ecuador.,health,9 abr. 2018 -,En Guayaquil se daran charlas sobre la medicina hiperbarica,,guayaquil daran charlas sobre medicina hiperbarica,diabetes mellitus tipo una enfermedad cronica del pancreas cuyas complicaciones provocan miles muertes cada ano ecuador,dar charl sobr medicin hiperbar,daran charlas medicina hiperbarica,guayaquil dar charl sobr medicin hiperbar,diabet mellitus tip enfermed cronic pancr cuy complic provoc mil muert cad ano,diabetes mellitus tipo enfermedad cronica pancreas cuyas complicaciones provocan miles muertes cada ano,diabet mellitus tip una enfermed cronic del pancr cuy complic provoc mil muert cad ano ecuador
La Hora (Ecuador),ecuador_lahora_2016_45,"QUITO Esta manana (16 de marzo de 2016) fueron capturados por la Policia tres supuestos 'sacapintas', quienes iban a robar a un cliente de una agencia del ...",crime,16 Mar. 2016,Capturan a tres supuestos 'sacapintas' en el sur de Quito,2016.0,capturan tres supuestos sacapintas sur quito,quito esta manana marzo fueron capturados por policia tres supuestos sacapintas quienes iban robar cliente una agencia del,captur tres supuest sacapint sur quit,capturan tres supuestos sacapintas sur,captur tres supuest sacapint sur quit,quit manan marz captur polici tres supuest sacapint iban rob client agenci,manana marzo capturados policia tres supuestos sacapintas iban robar cliente agencia,quit esta manan marz fueron captur por polici tres supuest sacapint quien iban rob client una agenci del
El Comercio (Ecuador),ecuador_elcomercio_2017_97,"El presidente de la Republica, Lenin Moreno, derogo hoy 23 de octubre de 2017 el Decreto numero 16 y el numero 739, cuyo fin era ejercer control sobre las ...",polit,23 Oct. 2017,Lenin Moreno derogo los decretos 16 y 739 y establece seis causales ...,2017.0,lenin moreno derogo los decretos establece seis causales,presidente republica lenin moreno derogo hoy octubre decreto numero numero cuyo fin era ejercer control sobre las,moren derog decret establec seis causal,derogo decretos establece seis causales,lenin moren derog los decret establec seis causal,president republ moren derog hoy octubr decret numer numer cuy fin ejerc control sobr,presidente republica derogo hoy octubre decreto numero numero cuyo fin ejercer control,president republ lenin moren derog hoy octubr decret numer numer cuy fin era ejerc control sobr las
El Universo,ecuador_eluniverso_2018_107,"... resultaron heridos durante operativos militares en el departamento colombiano de Putumayo, limitrofe con Ecuador, dijeron las autoridades este miercoles.",crime,16 May. 2018,Ocho disidentes de FARC mueren en combates en zona fronteriza ...,2018.0,ocho disidentes farc mueren combates zona fronteriza,resultaron heridos durante operativos militares departamento colombiano putumayo limitrofe con ecuador dijeron las autoridades este miercoles,ocho disident farc muer combat zon fronteriz,ocho disidentes farc mueren combates zona fronteriza,ocho disident farc muer combat zon fronteriz,result her durant oper militar departament colombian putumay limitrof dijeron autor miercol,resultaron heridos operativos militares departamento colombiano putumayo limitrofe dijeron autoridades miercoles,result her durant oper militar departament colombian putumay limitrof con ecuador dijeron las autor este miercol
El Universo,ecuador_eluniverso_2016_77,"Lo hizo con la fundacion Techo Ecuador. En el colegio fiscal Rafael Garcia Goyena, donde estudio Robert Salazar, tambien hubo conmocion por su muerte.",crime,7 Nov. 2016,Asesinado periodista de EL UNIVERSO en un asalto,2016.0,asesinado periodista universo asalto,hizo con fundacion techo ecuador colegio fiscal rafael garcia goyena donde estudio robert salazar tambien hubo conmocion por muerte,asesin period univers asalt,asesinado periodista universo asalto,asesin period univers asalt,hiz fundacion tech colegi fiscal garci goyen dond estudi robert salaz tambi hub conmocion muert,hizo fundacion techo colegio fiscal garcia goyena estudio robert salazar tambien conmocion muerte,hiz con fundacion tech ecuador colegi fiscal rafael garci goyen dond estudi robert salaz tambi hub conmocion por muert
El Universo,,"Ugarte se refiere al articulo 333 del proyecto que faculta a la Autoridad Sanitaria Nacional (ASN), actualmente el Ministerio de Salud Publica, para otorgar ...",health,12 jun. 2018 -,"Cannabis medicinal, otro tema polemico en Codigo de la Salud ...",,cannabis medicinal otro tema polemico codigo salud,ugarte refiere articulo del proyecto que faculta autoridad sanitaria nacional asn actualmente ministerio salud publica para otorgar,cannabis medicinal tem polem codig salud,cannabis medicinal tema polemico codigo salud,cannabis medicinal otro tem polem codig salud,ugart refier articul proyect facult autor sanitari nacional asn actual ministeri salud public par otorg,ugarte refiere articulo proyecto faculta autoridad sanitaria nacional asn actualmente ministerio salud publica otorgar,ugart refier articul del proyect que facult autor sanitari nacional asn actual ministeri salud public par otorg
El Comercio (Ecuador),ecuador_elcomercio_2016_28,La Seleccion de Ecuador empato 2-2 con Paraguay en partido correspondiente a la quinta jornada de las Eliminatorias Sudamericanas. En un cotejo polemico ...,sport,25 Mar. 2016,Angel Mena le dio el empate a Ecuador ante Paraguay en el estadio ...,2016.0,angel mena dio empate ecuador ante paraguay estadio,seleccion ecuador empato con paraguay partido correspondiente quinta jornada las eliminatorias sudamericanas cotejo polemico,angel men dio empat paraguay estadi,angel mena dio empate paraguay estadio,angel men dio empat ecuador ante paraguay estadi,seleccion empat paraguay part correspondient quint jorn eliminatori sudamerican cotej polem,seleccion empato paraguay partido correspondiente quinta jornada eliminatorias sudamericanas cotejo polemico,seleccion ecuador empat con paraguay part correspondient quint jorn las eliminatori sudamerican cotej polem
El Universo,ecuador_eluniverso_2017_93,"Cancilleria Ecuador (@CancilleriaEc) 10 de septiembre de 2017 ... Roldan, en declaraciones esta manana a EL UNIVERSO, aclaro su polemica propuesta.",polit,10 Sep. 2017,Cancilleria de Ecuador se desmarca sobre compra de cartera de ...,2017.0,cancilleria ecuador desmarca sobre compra cartera,cancilleria ecuador cancilleriaec septiembre roldan declaraciones esta manana universo aclaro polemica propuesta,cancilleri desmarc sobr compr carter,cancilleria desmarca compra cartera,cancilleri ecuador desmarc sobr compr carter,cancilleri cancilleriaec septiembr rold declar manan univers aclar polem propuest,cancilleria cancilleriaec septiembre roldan declaraciones manana universo aclaro polemica propuesta,cancilleri ecuador cancilleriaec septiembr rold declar esta manan univers aclar polem propuest
,,"Queria estudiar Medicina en la Universidad de Guayaquil. Hace un ano, cuenta, saco 800 puntos en la prueba para ingresar a la universidad publica y no ...",educ,14 may. 2017 -,Jovenes van a tecnologicos ante falta de cupo en la Universidad ...,,jovenes van tecnologicos ante falta cupo universidad,queria estudiar medicina universidad guayaquil hace ano cuenta saco puntos prueba para ingresar universidad publica,joven van tecnolog falt cup univers,jovenes van tecnologicos falta cupo universidad,joven van tecnolog ante falt cup univers,queri estudi medicin univers hac ano cuent sac punt prueb par ingres univers public,queria estudiar medicina universidad hace ano cuenta saco puntos prueba ingresar universidad publica,queri estudi medicin univers guayaquil hac ano cuent sac punt prueb par ingres univers public
El Universo,ecuador_eluniverso_2015_115,"La Policia colombiana desarticulo una red de narcotraficantes dedicada a la elaboracion y venta de drogas sinteticas que eran distribuidas en Ecuador, Peru, ...",crime,29 abr. 2015,Desarticulan red que vendia drogas sinteticas en Ecuador,2015.0,desarticulan red que vendia drogas sinteticas ecuador,policia colombiana desarticulo una red narcotraficantes dedicada elaboracion venta drogas sinteticas que eran distribuidas ecuador peru,desarticul red vendi drog sintet,desarticulan red vendia drogas sinteticas,desarticul red que vendi drog sintet ecuador,polici colombian desarticul red dedic elaboracion vent drog sintet distribu peru,policia colombiana desarticulo red dedicada elaboracion venta drogas sinteticas distribuidas peru,polici colombian desarticul una red dedic elaboracion vent drog sintet que eran distribu ecuador peru
El Comercio (Ecuador),ecuador_elcomercio_2017_93,El embajador de China en Ecuador fue convocado a la Cancilleria para presentarle una protesta formal por la presencia de pesqueros de ese pais en las ...,polit,18 ago. 2017,Ecuador presenta protesta a China por pesca ilegal de especies ...,2017.0,ecuador presenta protesta china por pesca ilegal especies,embajador china ecuador fue convocado cancilleria para presentarle una protesta formal por presencia pesqueros ese pais las,present protest chin pesc ilegal especi,presenta protesta china pesca ilegal especies,ecuador present protest chin por pesc ilegal especi,embaj chin convoc cancilleri par present protest formal presenci pesquer pais,embajador china convocado cancilleria presentarle protesta formal presencia pesqueros pais,embaj chin ecuador fue convoc cancilleri par present una protest formal por presenci pesquer ese pais las
El Comercio,ecuador_elcomercio_2015_20,Colombia lo que hace es apoyar el ingreso de Ecuador al acuerdo con la Union ... El comercio bilateral se redujo en el 2015 y las autoridades de ambos paises ...,polit,15 dic. 2015,Colombia da espaldarazo al acuerdo de Ecuador con la UE,2015.0,colombia espaldarazo acuerdo ecuador con,colombia que hace apoyar ingreso ecuador acuerdo con union comercio bilateral redujo las autoridades ambos paises,colombi espaldaraz acuerd,colombia espaldarazo acuerdo,colombi espaldaraz acuerd ecuador con,colombi hac apoy ingres acuerd union comerci bilateral reduj autor ambos pais,colombia hace apoyar ingreso acuerdo union comercio bilateral redujo autoridades ambos paises,colombi que hac apoy ingres ecuador acuerd con union comerci bilateral reduj las autor ambos pais
El Comercio (Ecuador),ecuador_elcomercio_2016_101,Ecuador recibio el respaldo de Francia para la firma del acuerdo comercial con ... ademas en Paris en un encuentro con inversionistas de comercio y sectores ...,economi,15 Sep. 2016,Francia respalda acuerdo comercial entre Ecuador y la UE,2016.0,francia respalda acuerdo comercial entre ecuador,ecuador recibio respaldo francia para firma del acuerdo comercial con ademas paris encuentro con inversionistas comercio sectores,franci respald acuerd comercial,francia respalda acuerdo comercial,franci respald acuerd comercial entre ecuador,recibi respald franci par firm acuerd comercial adem paris encuentr inversion comerci sector,recibio respaldo francia firma acuerdo comercial ademas paris encuentro inversionistas comercio sectores,ecuador recibi respald franci par firm del acuerd comercial con adem paris encuentr con inversion comerci sector
El Universo,ecuador_eluniverso_2017_87,Para la Federacion Ecuatoriana de Futbol -segun un banner colocado en su sitio oficial y que circula profusamente por WhatsApp y las redes sociales- el ...,sport,7 Oct. 2017,Hipocresia derroche y eliminacion de Ecuador,2017.0,hipocresia derroche eliminacion ecuador,para federacion ecuatoriana futbol segun banner colocado sitio oficial que circula profusamente por whatsapp las redes sociales,hipocresi derroch eliminacion,hipocresia derroche eliminacion,hipocresi derroch eliminacion ecuador,par federacion ecuatorian futbol segun bann coloc siti oficial circul profus whatsapp red social,federacion ecuatoriana futbol segun banner colocado sitio oficial circula profusamente whatsapp redes sociales,par federacion ecuatorian futbol segun bann coloc siti oficial que circul profus por whatsapp las red social
El Comercio,ecuador_elcomercio_2015_91,"La presidenta de Chile, Michelle Bachelet, visitara Ecuador el 14 y 15 de octubre de 2015 con ocasion de celebrarse en Quito la cuarta reunion del Consejo ...",polit,8 Oct. 2015,Bachelet visitara Ecuador la proxima semana por reunion binacional,2015.0,bachelet visitara ecuador proxima semana por reunion binacional,presidenta chile michelle bachelet visitara ecuador octubre con ocasion celebrarse quito cuarta reunion del consejo,bachelet visit proxim seman reunion binacional,bachelet visitara proxima semana reunion binacional,bachelet visit ecuador proxim seman por reunion binacional,president chil michell bachelet visit octubr ocasion celebr quit cuart reunion consej,presidenta chile michelle bachelet visitara octubre ocasion celebrarse cuarta reunion consejo,president chil michell bachelet visit ecuador octubr con ocasion celebr quit cuart reunion del consej
El Comercio (Ecuador),ecuador_elcomercio_2017_5,Ocho jugadores de la Seleccion ecuatoriana tenian previsto viajar ayer en la tarde hasta Asuncion para afrontar el partido ante Paraguay el proximo jueves 23.,sport,18 Mar. 2017,Ecuador se entrena desde este domingo 19 de marzo en suelo ...,2017.0,ecuador entrena desde este domingo marzo suelo,ocho jugadores seleccion ecuatoriana tenian previsto viajar ayer tarde hasta asuncion para afrontar partido ante paraguay proximo jueves,entren desd doming marz suel,entrena domingo marzo suelo,ecuador entren desd este doming marz suel,ocho jugador seleccion ecuatorian teni previst viaj ayer tard hast asuncion par afront part paraguay proxim juev,ocho jugadores seleccion ecuatoriana tenian previsto viajar ayer tarde asuncion afrontar partido paraguay proximo jueves,ocho jugador seleccion ecuatorian teni previst viaj ayer tard hast asuncion par afront part ante paraguay proxim juev
,,Las autoridades de educacion superior negaron esta manana que se vayan a reabrir las 14 universidades y escuelas politecnicas que no alcanzaron los ...,educ,25 oct. 2017 -,Autoridades niegan que se vayan a reaperturar 14 universidades ...,,autoridades niegan que vayan reaperturar universidades,las autoridades educacion superior negaron esta manana que vayan reabrir las universidades escuelas politecnicas que alcanzaron los,autor nieg vay reapertur univers,autoridades niegan vayan reaperturar universidades,autor nieg que vay reapertur univers,autor educacion superior neg manan vay reabr univers escuel politecn alcanz,autoridades educacion superior negaron manana vayan reabrir universidades escuelas politecnicas alcanzaron,las autor educacion superior neg esta manan que vay reabr las univers escuel politecn que alcanz los
La Hora (Ecuador),ecuador_lahora_2016_10,Ecuador comparte su serie con Brasil Colombia Chile y Paraguay mientras que el otro grupo lo conforman Argentina Uruguay Peru Bolivia y Venezuela.,sport,7 dic. 2016,Ecuador se alista para el Sudamericano Sub 20,2016.0,ecuador alista para sudamericano sub,ecuador comparte serie con brasil colombia chile paraguay mientras que otro grupo conforman argentina uruguay peru bolivia venezuela,alist par sudamerican sub,alista sudamericano sub,ecuador alist par sudamerican sub,compart seri brasil colombi chil paraguay mientr grup conform argentin uruguay peru bolivi venezuel,comparte serie brasil colombia chile paraguay mientras grupo conforman argentina uruguay peru bolivia venezuela,ecuador compart seri con brasil colombi chil paraguay mientr que otro grup conform argentin uruguay peru bolivi venezuel
El Universo,ecuador_eluniverso_20190815,"Dos motorizados, con arma en mano, asaltaron el domingo pasado a una pareja que se movilizaba en un auto a pleno dia en la ciudadela Los Ceibos.",crime,15 ag. 2019,Sin pistas de dos asaltantes de una pareja en Los Ceibos,2019.0,sin pistas dos asaltantes una pareja los ceibos,dos motorizados con arma mano asaltaron domingo pasado una pareja que movilizaba auto pleno dia ciudadela los ceibos,pist dos asalt parej ceib,pistas dos asaltantes pareja ceibos,sin pist dos asalt una parej los ceib,dos motoriz arma man asalt doming pas parej moviliz aut plen dia ciudadel ceib,dos motorizados arma mano asaltaron domingo pasado pareja movilizaba auto pleno dia ciudadela ceibos,dos motoriz con arma man asalt doming pas una parej que moviliz aut plen dia ciudadel los ceib
El Universo,ecuador_eluniverso_2017_34,La seleccion ecuatoriana enfrenta hoy a Paraguay con la necesidad de ganar para asegurar su clasificacion al hexagonal final del Sudamericano sub-20.,sport,25 ene. 2017,Seleccion de Ecuador Sub-20 en juego definitivo,2017.0,seleccion ecuador sub juego definitivo,seleccion ecuatoriana enfrenta hoy paraguay con necesidad ganar para asegurar clasificacion hexagonal final del sudamericano sub,seleccion sub jueg definit,seleccion sub juego definitivo,seleccion ecuador sub jueg definit,seleccion ecuatorian enfrent hoy paraguay neces gan par asegur clasificacion hexagonal final sudamerican sub,seleccion ecuatoriana enfrenta hoy paraguay necesidad ganar asegurar clasificacion hexagonal final sudamericano sub,seleccion ecuatorian enfrent hoy paraguay con neces gan par asegur clasificacion hexagonal final del sudamerican sub
El Universo,," Los centros de primer nivel atendieron a 345.164 personas con trastornos de salud mental en 2015, segun Roberto Enriquez, encargado del tema en el ...",health,16 abr. 2017 -,Roberto Enriquez: Medico debe saber detectar los casos de salud ...,,roberto enriquez medico debe saber detectar los casos salud,los centros primer nivel atendieron personas con trastornos salud mental segun roberto enriquez encargado del tema,robert enriquez medic deb sab detect cas salud,roberto enriquez medico debe saber detectar casos salud,robert enriquez medic deb sab detect los cas salud,centr prim nivel atend person trastorn salud mental segun robert enriquez encarg tem,centros primer nivel atendieron personas trastornos salud mental segun roberto enriquez encargado tema,los centr prim nivel atend person con trastorn salud mental segun robert enriquez encarg del tem
El Comercio,ecuador_elcomercio_2015_11,La Seleccion de Ecuador tiene la posibilidad de finalizar las eliminatorias ... Una cronica de diario EL COMERCIO en ese entonces describio el partido con el ...,sport,17 Nov. 2015,Conozca el rendimiento de Venezuela jugando como local ante ...,2015.0,conozca rendimiento venezuela jugando como local ante,seleccion ecuador tiene posibilidad finalizar las eliminatorias una cronica diario comercio ese entonces describio partido con,conozc rendimient venezuel jug com local,conozca rendimiento venezuela jugando local,conozc rendimient venezuel jug com local ante,seleccion tien posibil finaliz eliminatori cronic diari comerci entonc describi part,seleccion posibilidad finalizar eliminatorias cronica diario comercio entonces describio partido,seleccion ecuador tien posibil finaliz las eliminatori una cronic diari comerci ese entonc describi part con
 , , El delito habria ocurrido en los banos de una escuela publica del norte de la ... Aun hay trabas en casos de violencia sexual en Ecuador * El caso de tortura ...,crime,12 sep. 2018,Juicio por tortura contra ninos de escuela de Guayaquil se retomara el ...,2018.0,juicio por tortura contra ninos escuela guayaquil retomara,delito habria ocurrido los banos una escuela publica del norte aun hay trabas casos violencia sexual ecuador caso tortura,juici tortur contr nin escuel retom,juicio tortura ninos escuela retomara,juici por tortur contr nin escuel guayaquil retom,delit habri ocurr ban escuel public nort aun trab cas violenci sexual cas tortur,delito habria ocurrido banos escuela publica norte aun trabas casos violencia sexual caso tortura,delit habri ocurr los ban una escuel public del nort aun hay trab cas violenci sexual ecuador cas tortur
El Comercio,ecuador_elcomercio_2015_6,"El canciller de Cuba, Bruno Rodriguez, viajo a Ecuador y Nicaragua los dias 19 y 20 de noviembre, para tratar con sus presidentes, Rafael Correa y Daniel ...",polit,22 Nov. 2015,Canciller cubano visito Ecuador y Nicaragua para abordar problema ...,2015.0,canciller cubano visito ecuador nicaragua para abordar problema,canciller cuba bruno rodriguez viajo ecuador nicaragua los dias noviembre para tratar con sus presidentes rafael correa daniel,cancill cuban visit nicaragu par abord problem,canciller cubano visito nicaragua abordar problema,cancill cuban visit ecuador nicaragu par abord problem,cancill cub brun rodriguez viaj nicaragu dias noviembr par trat president corre daniel,canciller cuba bruno rodriguez viajo nicaragua dias noviembre tratar presidentes daniel,cancill cub brun rodriguez viaj ecuador nicaragu los dias noviembr par trat con sus president rafael corre daniel
El Comercio (Ecuador),ecuador_elcomercio_2017_4,"El Consejo Nacional Electoral (CNE) de Ecuador tildo de ""campana sucia"" el sabado 25 de marzo de 2017 la difusion de propaganda electoral en autobuses ...",polit,26 Mar. 2017,Organismo electoral de Ecuador rechaza 'campana sucia' contra ...,2017.0,organismo electoral ecuador rechaza campana sucia contra,consejo nacional electoral cne ecuador tildo campana sucia sabado marzo difusion propaganda electoral autobuses,organ electoral rechaz campan suci contr,organismo electoral rechaza campana sucia,organ electoral ecuador rechaz campan suci contr,consej nacional electoral cne tild campan suci sab marz difusion propagand electoral autobus,consejo nacional electoral cne tildo campana sucia sabado marzo difusion propaganda electoral autobuses,consej nacional electoral cne ecuador tild campan suci sab marz difusion propagand electoral autobus
 , ,Cuatro personas fueron detenidas la noche del viernes luego de un asalto perpretado en una farmacia...La policia fue alertada y pudo capturar a cuatro sujetos...,crime,10 ag. 2019,Cuatro detenidos por asalto en Manabi.,2019.0,cuatro detenidos por asalto manabi,cuatro personas fueron detenidas noche del viernes luego asalto perpretado una farmacia policia fue alertada pudo capturar cuatro sujetos,cuatr deten asalt manabi,cuatro detenidos asalto manabi,cuatr deten por asalt manabi,cuatr person deten noch viern lueg asalt perpret farmaci polici alert pud captur cuatr sujet,cuatro personas detenidas noche viernes luego asalto perpretado farmacia policia alertada pudo capturar cuatro sujetos,cuatr person fueron deten noch del viern lueg asalt perpret una farmaci polici fue alert pud captur cuatr sujet
El Comercio (Ecuador),ecuador_elcomercio_2016_74,"Colombia y Ecuador anunciaron en marzo que examinan crear una fuerza militar conjunta para fortalecer la seguridad en la frontera comun, de unos 700 km y ...",crime,13 abr. 2016,Casi seis toneladas de cocaina fueron incautadas en aguas del ...,2016.0,casi seis toneladas cocaina fueron incautadas aguas del,colombia ecuador anunciaron marzo que examinan crear una fuerza militar conjunta para fortalecer seguridad frontera comun unos,casi seis tonel cocain incaut agu,casi seis toneladas cocaina incautadas aguas,casi seis tonel cocain fueron incaut agu del,colombi anunci marz examin cre fuerz milit conjunt par fortalec segur fronter comun,colombia anunciaron marzo examinan crear fuerza militar conjunta fortalecer seguridad frontera comun,colombi ecuador anunci marz que examin cre una fuerz milit conjunt par fortalec segur fronter comun unos
El Comercio (Ecuador),ecuador_elcomercio_2018_76,"Militares que custodian la frontera revelan que, al parecer, el maneja la logistica del traslado de droga entre Ecuador y Colombia. Sus operaciones delictivas ...",crime,29 ene. 2018,"Ecuatoriano disidente de las FARC, sospechoso del atentado",2018.0,ecuatoriano disidente las farc sospechoso del atentado,militares que custodian frontera revelan que parecer maneja logistica del traslado droga entre ecuador colombia sus operaciones delictivas,ecuatorian disident farc sospech atent,ecuatoriano disidente farc sospechoso atentado,ecuatorian disident las farc sospech del atent,militar custodi fronter revel parec manej logist trasl drog colombi oper delict,militares custodian frontera revelan parecer maneja logistica traslado droga colombia operaciones delictivas,militar que custodi fronter revel que parec manej logist del trasl drog entre ecuador colombi sus oper delict
El Comercio (Ecuador),ecuador_elcomercio_2016_93,"El presidente del Banco Mundial, Jim Yong Kim, expreso sus condolencias y solidaridad al pueblo de Ecuador, tras el fuerte terremoto que sacudio el pais el ...",economi,17 abr. 2016,Banco Mundial ofrece apoyo a Ecuador ante el terremoto ,2016.0,banco mundial ofrece apoyo ecuador ante terremoto,presidente del banco mundial jim yong kim expreso sus condolencias solidaridad pueblo ecuador tras fuerte terremoto que sacudio pais,banc mundial ofrec apoy terremot,banco mundial ofrece apoyo terremoto,banc mundial ofrec apoy ecuador ante terremot,president banc mundial jim yong kim expres condolent solidar puebl tras fuert terremot sacudi pais,presidente banco mundial jim yong kim expreso condolencias solidaridad pueblo tras fuerte terremoto sacudio pais,president del banc mundial jim yong kim expres sus condolent solidar puebl ecuador tras fuert terremot que sacudi pais
El Comercio (Ecuador),ecuador_elcomercio_2016_103,"Para el presidenciable de Creo, Guillermo Lasso, hay al menos dos temas a los que Ecuador debe poner atencion especial. Uno es el comercio y la inversion.",polit,9 Nov. 2016,Gobierno de Ecuador habla de respeto mutuo con la administracion ...,2016.0,gobierno ecuador habla respeto mutuo con administracion,para presidenciable creo guillermo lasso hay menos dos temas los que ecuador debe poner atencion especial uno comercio inversion,gobiern habl respet mutu administracion,gobierno habla respeto mutuo administracion,gobiern ecuador habl respet mutu con administracion,par presidenci cre guillerm lass men dos tem deb pon atencion especial comerci inversion,presidenciable creo guillermo lasso menos dos temas debe poner atencion especial comercio inversion,par presidenci cre guillerm lass hay men dos tem los que ecuador deb pon atencion especial uno comerci inversion
El Universo,,"En el listado hay 106 empleados publicos de la salud, de Celec y de alcaldias de Santa Elena.",health,1 ago. 2018 -,Se cobro el 40% de comision por subsidios ilegales de salud de IESS ...,,cobro comision por subsidios ilegales salud iess,listado hay empleados publicos salud celec alcaldias santa elena,cobr comision subsidi ilegal salud iess,cobro comision subsidios ilegales salud iess,cobr comision por subsidi ilegal salud iess,list emple public salud celec alcaldi sant elen,listado empleados publicos salud celec alcaldias santa elena,list hay emple public salud celec alcaldi sant elen
El Comercio (Ecuador),ecuador_elcomercio_2016_5,"Los presidentes de Ecuador, Rafael Correa, y de Argentina, Mauricio Macri, sostendran una reunion en Quito el proximo jueves para tratar temas bilaterales, ...",polit,22 ene. 2016,Ecuador confirma encuentro entre Macri y Correa en Quito,2016.0,ecuador confirma encuentro entre macri correa quito,los presidentes ecuador rafael correa argentina mauricio macri sostendran una reunion quito proximo jueves para tratar temas bilaterales,confirm encuentr macri corre quit,confirma encuentro macri,ecuador confirm encuentr entre macri corre quit,president corre argentin maurici macri sostendr reunion quit proxim juev par trat tem bilateral,presidentes argentina mauricio macri sostendran reunion proximo jueves tratar temas bilaterales,los president ecuador rafael corre argentin maurici macri sostendr una reunion quit proxim juev par trat tem bilateral
 , ,"Los datos de la Fiscalia son decidores: en Ecuador, 9 de cada 10 agresores forman ... de abuso sexual en la familia o en la escuela e iglesia, segun la entidad.",crime,18 oct. 2017,Como detectar si un nino es victima de abuso sexual y como actuar ...,2017.0,como detectar nino victima abuso sexual como actuar,los datos fiscalia son decidores ecuador cada agresores forman abuso sexual familia escuela iglesia segun entidad,com detect nin victim abus sexual com actu,detectar nino victima abuso sexual actuar,com detect nin victim abus sexual com actu,dat fiscali decidor cad agresor form abus sexual famili escuel iglesi segun entid,datos fiscalia decidores cada agresores forman abuso sexual familia escuela iglesia segun entidad,los dat fiscali son decidor ecuador cad agresor form abus sexual famili escuel iglesi segun entid
El Universo,,"El Municipio, segun sus cifras, presto cobertura de salud a 579.957 usuarios en sus centros medicos en el 2015, mientras que en educacion, 167.000 ...",health,17 ene. 2016 -,Municipio de Guayaquil reitera que mantendra servicios de salud y de ...,,municipio guayaquil reitera que mantendra servicios salud,municipio segun sus cifras presto cobertura salud usuarios sus centros medicos mientras que educacion,municipi reiter mantendr servici salud,municipio reitera mantendra servicios salud,municipi guayaquil reiter que mantendr servici salud,municipi segun cifr prest cobertur salud usuari centr medic mientr educacion,municipio segun cifras presto cobertura salud usuarios centros medicos mientras educacion,municipi segun sus cifr prest cobertur salud usuari sus centr medic mientr que educacion
El Comercio,ecuador_elcomercio_2018_42,"Ecuador buscara en China un acuerdo parcial de comercio durante la visita que realizaran la semana que viene el presidente, Lenin Moreno, y su ministro de ...",economi,7 dic. 2018,Ecuador buscara en China un acuerdo parcial de comercio,2018.0,ecuador buscara china acuerdo parcial comercio,ecuador buscara china acuerdo parcial comercio durante visita que realizaran semana que viene presidente lenin moreno ministro,busc chin acuerd parcial comerci,buscara china acuerdo parcial comercio,ecuador busc chin acuerd parcial comerci,busc chin acuerd parcial comerci durant visit realiz seman vien president moren ministr,buscara china acuerdo parcial comercio visita realizaran semana viene presidente ministro,ecuador busc chin acuerd parcial comerci durant visit que realiz seman que vien president lenin moren ministr
