diario|id_news|snippet|svm_prediction|time|title|year
El Universo|ecuador_eluniverso_2018_83|El diésel para transporte público y gas de uso doméstico no se verán modificados, dijo el ministro de Economía, Richard Martínez, al mismo tiempo que anunció ...|economi|18 dic. 2018|Ecuador reduce subsidios de gasolina extra y ecopaís|2018.0
La Hora (Ecuador)|ecuador_lahora_2017_54|Siguen los cuestionamientos al plan económico del Gobierno de Ecuador ... continuos créditos otorgados al Gobierno por el Banco Central del Ecuador (BCE).|economi|13 Oct. 2017|Siguen los cuestionamientos al plan económico del Gobierno de ...|2017.0
El Universo||La escuela merece un cambio radical. Las reformas educativas han sido maquillajes. Es el momento de actuar sobre la base de la realidad, con la participación ...|educ|23 feb. 2015 -|El Ecuador necesita una nueva escuela|
El Universo||Juan Mandu caminó dos horas desde la escuela Chapints para regresar a su casa, ... Escuelas de Ecuador tendrán seguro contra catástrofes o vandalismo.|educ|31 oct. 2018 -|130 niños shuar hacen largas caminatas para ir a la escuela|
El Universo||Entonces vamos a construir las escuelas del Siglo XXI”, agregó el mandatario. Las Escuelas del Siglo ...|educ|24 sep. 2016 -|El Gobierno ecuatoriano ahora construirá escuelas del 'Siglo XXI'|
El Universo||Un segundo grupo de 19 escuelas, cuyos problemas -según la entidad- están resueltos, ... Seis estadios y coliseos del Ecuador arrastran pagos no legalizados ...|educ|17 ago. 2018 -|USD 19,9 millones más costaron 25 escuelas|
El Universo||En Ecuador no se puede conocer cuántos 'homeschoolers' (niños y ... sus hijos; evitar situaciones de violencia que se producen en la escuela; enfermedad del ...|educ|24 sep. 2018 -|¿Cómo educar en casa, en Ecuador?|
El Universo||Graciela Valero es directora, maestra, está a cargo de la colación escolar y cuida de los libros del salón de lectura. Su escritorio marca el centro de un aula, ...|educ|17 abr. 2018 -|El 52% de escuelas de Ecuador es unidocente y bidocente|
El Universo||El año escolar en la región Sierra-Amazonía se inició este 1 de septiembre del 2015 con algunos cambios, por la aprobación de las reformas a la Ley de ...|educ|1 sep. 2015 -|Para ser profesor en escuelas y colegios públicos en el Ecuador se ...|
El Universo||Las escuelas unidocentes y bidocentes representan el 52% de las 12 296 unidades educativas fiscales a escala nacional. Así lo indicó Fander Falconí, ministro ...|educ|6 abr. 2018 -|Las escuelas del milenio cubren al 3,6% de los estudiantes del ...|
El Universo||Estudiantes de la escuela República del Ecuador revisan los textos de ... Algunas de las escuelas donde se enseña sobre la cultura afro son la Luis Vargas ...|educ|9 jul. 2018 -|Etnoeducación en 11 escuelas de Esmeraldas|
El Universo||“Díganles a sus mamis y papis que ellos no pueden quedarse en la escuela. Aquí las sorpresas son solo para los niños”, será el pedido. Eso cuenta Marcia ...|educ|3 oct. 2016 -|131 757 niños de 3 y 4 años, a clases en la escuela fiscal|
El Universo||Los niños de la escuela Abraham Calazacón juegan indiferentes a los ... La escuela Julio Jaramillo Laurido es uno de los planteles que tenía que ... El arancel para zapatos deportivos se reduce y para implementos se baja a cero en Ecuador.|educ|15 oct. 2018 -|Los niños no pueden usar tres escuelas nuevas|
El Universo||Busca medir si tienen conocimientos mínimos o estándares, que el Ministerio de Educación cree necesario fijar desde que se inicia la escuela hasta que se ...|educ|9 nov. 2016 -|Los colegios más caros en Quito no obtienen la mejor nota|
El Universo||La escuela UNE, ubicada en el sector de La Luz, en el norte de Quito, fue la cuarta institución visitada por el nuevo observatorio Así es el Ecuador. Ahí se ...|educ|5 abr. 2015 -|La interculturalidad en la escuela es evaluada|
El Universo||Ocurrió el pasado 12 de junio en la amazónica parroquia Sevilla, del cantón Cascales, provincia de Sucumbíos, cerca de la frontera de Ecuador con Colombia.|educ|2 jul. 2018 -|Niña de 12 años sacada por la fuerza de escuela en Cascales lleva ...|
El Universo|| Esta escuela tiene un poco más de un año de funcionamiento y se cae a pedazos… es prefabricada y construida por los chinos. Todo está dañado. Desde que ...|educ|8 sep. 2018 -|Escuelas del infierno|
El Universo||Informe sobre escuelas del milenio en el IAEN, Instituto de Altos Estudios Nacionales. Ruth Intriago, Directora Nacional de Investigación del Ministerio de ...|educ|16 ago. 2017 -|Informe sobre impacto de las escuelas del milenio fue difundido|
El Universo||Estudiantes de sexto de básica de la Escuela Abdón Calderón, en Aláquez, ... Los niños conocen que en el Ecuador hay volcanes y muchos de ellos son ...|educ|17 dic. 2015 -|El Cotopaxi se volvió una asignatura en las escuelas|
El Universo||Niños en Ecuador podrán ingresar al inicial 2 sin cumplir los 4 años ... En mi escuela tuve casos de dos niños que cumplían 4 años por el 30 de septiembre, ...|educ|11 jun. 2018 -|Niños en Ecuador podrán ingresar al inicial 2 sin cumplir los 4 años ...|
El Universo|| redes sociales han circulado videos, fotos y audios sobre supuestos temas de educación sexual que se trataría de incluir en escuelas y colegios del Ecuador.|educ|5 oct. 2017 -|Ministerio de Educación niega autoría de libros, guías o documentos ...|
El Universo||La enseñanza de inglés vuelve a la escuela, en medio de dudas .... desde hace más de un siglo, se empezó a enseñar inglés en los planteles de Ecuador.|educ|13 sep. 2016 -|La enseñanza de inglés vuelve a la escuela, en medio de dudas|
El Universo||Las instituciones educativas de Ecuador, entre escuelas y colegios, contarán con un seguro contra incendios, otros fenómenos naturales o actos de vandalismo ...|educ|23 oct. 2018 -|Escuelas de Ecuador tendrán seguro contra catástrofes o vandalismo ...|
El Universo||En la Escuela San Francisco de Quito, estudiantes y docentes organizan las raciones. ... Ecuador no es el único país que dota a planteles públicos de comida.|educ|24 jun. 2017 -|Más de 3 millones de alumnos reciben colaciones en la escuela|
El Universo||En la cuenta de Facebook del Ministerio Educación del Ecuador hay padres de familia que han consultado por ejemplo, si es legal que los planteles ...|educ|15 jul. 2017 -|¿Puedo denunciar si en el colegio de mi hijo me cobran en exceso ...|
El Universo||En la escuela José Luis Román se realiza el proceso de inscripción y cambio de domicilio para estudiantes de Quito. Foto: Patricio Terán / EL COMERCIO.|educ|29 ago. 2018 -|Agrupación de hermanos en planteles fiscales depende|
El Universo||no usar los fines de semana para realizar actividades en escuelas y colegios. ... Agenda de los feriados en Ecuador del 2018 al 2020, según el Decreto 858 ...|educ|17 sep. 2018 -|¿Cuántos feriados y días libres tendrán los estudiantes en este ...|
El Universo||La fusión de las escuelas interculturales no termina por calar entre los padres de familia y los alumnos. El objetivo -según el Ministerio de Educación- es ...|educ|26 ene. 2015 -|Reclamo por escuelas que han sido fusionadas|
El Universo||Según el UPC del cantón Balzar, en Guayas, un tiroteo dejó a una persona herida en el tobillo y a otra bajo arresto hoy (20 de abril del 2018).|educ|20 abr. 2018 -|Una persona herida y otra detenida tras tiroteo en escuela secundaria ...|
El Universo||Estudiantes de primaria de la escuela San Francisco de Quito fueron evacuados la mañana de este 28 de abril del 2017 hacia el parque La Carolina.|educ|28 abr. 2017 -|1 200 estudiantes fueron evacuados de una escuela en el norte de ...|
El Universo||Si ante su denuncia, en el plantel donde estudia su hijo le dicen: “aquí no hay bullying”, no se conforme. En Ecuador existe un Protocolo de actuación ante ...|educ|15 jul. 2017 -|¿Qué hacer si su hijo es víctima de bullying y en el colegio lo niegan ...|
El Universo||En Ecuador no hay un registro del número de homeschoolers (niños y adolescentes que se ... Esa hostilidad le causó estrés y resistencia a ir a la escuela.|educ|23 sep. 2018 -|Sus hijos aprenden sin ir a ningún plantel|
El Universo|| Una gigantografía de todos los Presidentes de la República y un mapa del Ecuador adornan el aula donde 23 juveniles de la Universidad Católica reciben ...|educ|15 nov. 2018 -|Universidad Católica se sacó 20/20 con su colegio en La Armenia|
El Universo||El déficit de atención se detecta cuando el niño va a la escuela ... En Ecuador, según el Ministerio de Educación, hay 7 918 alumnos del sistema público, con el ...|educ|1 may. 2017 -|El déficit de atención se detecta cuando el niño va a la escuela|
El Universo||“La educación es fundamental para construir sociedades pacíficas y, sin embargo, para millones de niños la escuela no es un lugar seguro”, sostiene la ...|educ|19 sep. 2018 -|¿Cuál es la nueva materia que estudiarán los alumnos de básica este ...|
El Universo||La denominada 'meritocracia' ya se aplica actualmente en las escuelas militares del país. No hay condiciones diferentes para los aspirantes a oficiales o tropa.|educ|3 mar. 2016 -|El aspirante ya accede por méritos a las escuelas|
El Universo|| Dos estudiantes de la Unidad Educativa Apuela de Cotacachi, provincia de Imbabura, en el norte de Ecuador, sufrieron heridas leves por la rotura de vidrios de ...|educ|22 may. 2018 -|Estudiantes heridos y dos escuelas y un centro de salud afectados en ...|
El Universo||En fechas como esta, Valentina participaba con su flauta traversa en coros. La recuerdo como una de esas fuentes de agua, ella desbordaba alegría. Con 11 ...|educ|27 dic. 2017 -|Madre de Valentina: 'Recibí el cadáver de mi hija en la escuela'|
El Universo|| En Ecuador, sin embargo, un emprendimiento está revirtiendo esa tendencia y aprovechando el potencial de estos pequeños aparatos voladores. Es el caso de ...|educ|22 mar. 2017 -|Los 'droneros' tienen sus escuelas|
El Universo||El choque de un furgón contra una escuela dejó a dos niños con heridas de consideración. El accidente ocurrió la ... Actualidad Ecuador. 09 de febrero del ...|educ|9 feb. 2018 -|Choque de camión contra escuela dejó a dos menores con heridas de ...|
El Universo||Actualidad Ecuador ... Las paredes de la escuela La Inmaculada Fe y Alegría, ubicada en el casco patrimonial ... Se ha definido el cronograma de actividades para el estudio de la zona afectada cercana a la escuela con el fin de establecer si ...|educ|18 sep. 2017 -|La escuela La Inmaculada Fe y Alegría de Zaruma será demolida|
El Universo|| En Ecuador habitan alrededor de 15 millones de ciudadanos y todos producen basura diariamente. En el 2014, se generaron 4,1 millones de toneladas de ...|educ|18 may. 2016 -|En los colegios de Quito se incentiva el reciclaje|
El Universo|| Una intervención integral se aplicará en el colegio público del sur de Guayaquil donde estudiaba Brithany. La niña de 11 años falleció a causa de un derrame ...|educ|16 may. 2018 -|Intervienen colegio de Guayaquil donde estudiaba la menor que fue ...|
El Universo||El problema dela violencia en las escuelas de Florida es materia sensible, pues ... persona herida y otra detenida tras tiroteo en escuela secundaria de Florida ...|educ|25 oct. 2018 -|Niñas fueron aisladas en Florida por supuesto plan para atacar a sus ...|
El Universo||Además indicó que recibirán denuncias por cobros excesivos o no autorizados a través de tres canales: el portal Educar Ecuador, las direcciones distritales de ...|educ|13 jul. 2017 -|¿Cuál es la pensión autorizada para colegios particulares?|
El Universo||Ejemplo: en este periodo verdeflex se cierran cientos de escuelas rurales, en medio de un drama familiar y comunitario, que ve a sus niños transitar largas ...|educ|11 jun. 2016 -|¡No más escuelas cerradas!|
El Universo||Niña fue hallada muerta en el patio de una escuela en el norte de Quito ... para zapatos deportivos se reduce y para implementos se baja a cero en Ecuador.|educ|25 jun. 2016 -|La causa de la muerte de la niña de 11 años que falleció en escuela ...|
El Universo|| que suspende las actividades académicas en escuelas y colegios para los días ... o casas abiertas de los sábados en las escuelas y colegios de Ecuador.|educ|19 mar. 2018 -|Qué pasará con las mañanas deportivas, mingas o casas abiertas de ...|
El Universo||Si no estaba en el Conservatorio, Ruth creía que podía haberse quedado en la escuela. Cuando llegó, a las 19:50, la institución ya estaba cerrada, las luces ...|educ|29 jul. 2016 -|La extraña muerte de Valentina C. impulsa una campaña en contra de ...|
El Universo||En medio del libro de matemáticas estaba el pequeño papel con marihuana. El dueño de la sustancia cursaba el décimo año de educación básica y fue uno de ...|educ|21 sep. 2015 -|Cada colegio previene sobre drogas a su manera|
El Universo||No solo las universidades tienen menos recursos en la Pro forma 2019, también las escuelas y colegios. 12278. Agrandar/ Achicar. Email. Social print.|educ|15 nov. 2018 -|No solo las universidades tienen menos recursos en la Pro forma ...|
El Universo||Si de inglés se trata, los resultados de Ecuador no son tan alentadores. Un estudio de la Escuela de Idiomas Education First (EF) ubica al país en el puesto 47 ...|educ|22 nov. 2016 -|El inglés se pondrá a prueba en los colegios públicos|
El Universo||En Ecuador se hizo el lanzamiento este 1 de octubre del 2015 con un énfasis en las escuelas. Busca prevenir la violencia contra los niños y adolescentes.|educ|1 oct. 2015 -|3 de cada 5 niños enfrentan algún tipo de violencia en las escuelas ...|
El Universo||Estas medidas comenzaron a ejecutarse desde junio del 2015 en 14 000 colegios y escuelas que operan a escala nacional. ¿Ha dado resultados?|educ|7 feb. 2016 -|Hasta 30 días es suspendido el alumno que vende drogas|
El Universo||Acumuló una deuda de USD 660 en el colegio de sus dos hijos por tres meses impagos de pensiones, el año lectivo pasado. Las autoridades del plantel ...|educ|24 ene. 2017 -|Crece morosidad en el pago de las pensiones educativas|
El Universo||La Undiad Educativa La Providencia, en el Centro Histórico de Quito, tiene más de 100 años. Las lluvias y el granizo de la tarde del sábado 17 de noviembre, ...|educ|18 nov. 2018 -|Clases suspendidas en el Colegio La Providencia por daños tras ...|
El Universo||Un punto en discusión –todavía intocado en el Ecuador- es la necesaria conexión de la escuela, como núcleo central de educación formal, con las ciencias, ...|educ|29 dic. 2015 -|Neuroeducación: el encuentro de las ciencias con la escuela|
El Universo||Las labores para el derrocamiento del área dañada de la escuela La Inmaculada Fe y Alegría se iniciaron en Zaruma.|educ|22 sep. 2017 -|La demolición de la escuela de Zaruma empezó |
El Universo||Dos realidades se registran al fin del año escolar: chicos gozando de sus vacaciones y un grupo de estudiantes que se quedan al supletorio. Estos últimos ...|educ|17 jul. 2017 -|¿El supletorio, sinónimo de fracaso en la vida estudiantil?|
El Universo||8 Universidad Cristiana Latinoamericana 9. Escuela Politécnica Javeriana del Ecuador 10. Universidad Autónoma de Quito 11. Escuela Superior Politécnica ...|educ|28 ene. 2016 -|El proceso para acabar con las universidades 'de garaje' empezó|
El Universo||Con carteles, un grupo de estudiantes mostró su malestar por los cambios registrados en la Escuela Politécnica Nacional (EPN). Ellos organizaron, este jueves ...|educ|30 ago. 2018 -|Plantón en la Politécnica Nacional por cambios en modelo académico ...|
El Universo||El Ministerio de Educación, mediante el Acuerdo 034-A, determinó que el uso de la falda para las estudiantes sea opcional y no obligatorio para asistir a clases ...|educ|6 abr. 2018 -|Acuerdo ministerial determina que el uso de faldas en escuelas y ...|
El Universo||El futuro llega a las aulas de escuelas y colegios en América Latina ... Hay conversaciones avanzadas con el Ministerio de Educación del Ecuador para que se ...|educ|2 may. 2015 -|El futuro llega a las aulas de escuelas y colegios en América Latina ...|
El Universo||Tienen miedo. Vieron cómo se derrumbaron sus casas y la escuela, a donde estaba previsto que regresen los primeros días de mayo.|educ|29 abr. 2016 -|Todavía no hay escuela para 380 niños de La Chorrera, en ...|
El Universo|| Carmen Delgado García es licenciada en Educación con Especialidad en Ciencias Naturales. Su sueldo mensual, como maestra unidocente, es de USD 817.|educ|23 ago. 2017 -|256 escuelas unidocentes todavía subsisten en el país|
El Universo|| Así nace la idea de construir una escuela con materiales de reciclaje (usaron 200 ... del agua le dio un reconocimiento a Ecuador en los Premios Latinoamérica ...|educ|17 ago. 2018 -|Microrredes de energía, una ruta de mariposas y una escuela de ...|
El Universo||La dotación de alimentos escolares llegan a las escuelas y colegios a escala ... en la escuela · El 52% de escuelas de Ecuador es unidocente y bidocente. Tags.|educ|18 oct. 2018 -|Gobierno analiza cambios en el Programa de Alimentación Escolar; la ...|
El Universo||El cronograma académico en el régimen Costa para el año lectivo 2019-2020 se iniciará el 8 de abril de 2019. Las clases empezarán una semana antes en ...|educ|8 nov. 2018 -|Las clases del 2019 en el régimen Costa se iniciarán el 8 de abril|
El Universo||Las organizaciones afroesmeraldeñas propusieron que en Esmeraldas se creen 10 escuelas guardianas de los saberes ancestrales, que conserven la cultura ...|educ|12 dic. 2017 -|Los saberes afro se fomentan en las escuelas|
El Universo|| El contrato con la empresa consistía en la fabricación de 200 escuelas prefabricadas, que incluían ensamblaje, instalación y puesta en operación, por un monto ...|educ|13 jul. 2018 -|Educación termina contrato con China Railway N° 9 para construcción ...|
El Universo||Desde el 2007 hasta mayo del 2018 hubo 1 027 casos de este tipo en todo el Ecuador. 13 planteles educativos han sido intervenidos en dos años por casos de ...|educ|5 dic. 2018 -|Un alumno de un colegio de Chone agredió a su compañera de aula ...|
El Universo||Tiene 54 años y su mayor sueño es terminar la escuela y el colegio. El primer paso es aprender a leer y a escribir. Por eso se inscribió en el programa 'Todos ...|educ|13 ene. 2018 -|Los sábados, adultos mayores van a clases para concluir su ...|
El Universo||58 alumnos y tres maestros de una escuela de Riobamba se intoxicaron en un agasajo navideño ... docentes de la escuela|educ|15 dic. 2017 -|58 alumnos y tres maestros de una escuela de Riobamba se ...|
El Universo||Los estudiantes volvieron a recorrer las calles de Jama, luego de casi cinco meses de ausencia. En este cantón manabita las clases comenzaron ayer, debido ...|educ|5 jul. 2016 -|17 de las 26 escuelas provisionales funcionan|
||La creación de la Universidad del Río se encuentra en su fase final tras recibir la aprobación del Consejo de Educación Superior (CES) para ser reconocida ...|educ|22 sep. 2018 -|Universidad del Río, en fase final para creación ... - Guayaquil|
||Las letras de la Universidad de Guayaquil, el primer centro de educación superior de esta ciudad, son ahora parte de la fachada del rectorado. Francisco Verni.|educ|1 dic. 2017 -|Universidad de Guayaquil, la más poblada, llega a los 150 años tras ...|
||La creación de las universidades en Santo Domingo de los Tsáchilas y en la Amazonía se viabilizó a través de una Ley Reformatoria a la Ley Orgánica de ...|educ|11 ago. 2018 -|"Santo Domingo tendrá nueva universidad después de 2019 | Política ..."|
||La reforma a la ley convierte a Amawtay Wasy en una universidad “comunitaria”; antes era “particular autofinanciada”. Su promotora será la Secretaría Nacional ...|educ|9 jul. 2018 -|"Universidad indígena aún no existe, y ya tiene sede | Ecuador ..."|
||El Gobierno buscará que la Universidad Técnica Federico Santa María (USM), campus Guayaquil, no desaparezca y siga con su proyecto de creación de la ...|educ|22 feb. 2018 -|Gobierno buscará que la Universidad Santa María no cierre ...|
||El Consejo de Educación Superior (CES) determinó anoche la intervención integral de la Universidad de Guayaquil por un periodo de 90 días, tiempo que es ...|educ|16 oct. 2018 -|CES interviene la Universidad de Guayaquil por segunda vez en ...|
||Nos preguntamos: ¿el ingreso a la universidad es un sistema de avance o de un retroceso? El sistema de ingreso a las carreras universitarias públicas en el ...|educ|21 jul. 2018 -|"El acceso a las universidades públicas | Cartas al Director | Opinión ..."|
||Es una deuda, sin duda. Vidas marcadas. Mi función como Gobierno es reparar esa deuda”, dice Augusto Barrera, titular de la Secretaría Nacional de ...|educ|10 jun. 2018 -|"Augusto Barrera: 40 mil jóvenes no logran ir a universidad | Informes ..."|
|| El acuerdo entre las universidades públicas y el Gobierno para que no se recorte el presupuesto de 2019, no frenó la marcha organizada en la que también ...|educ|21 nov. 2018 -|Unos 16.000 alumnos de la Universidad de Cuenca marcharon por el ...|
||Ofertar programas de posgrado, acceder a mejores recursos y la posibilidad de generar convenios con varias instituciones son algunas de las ventajas con las ...|educ|6 sep. 2016 -|"Universidad de Guayaquil sube a la categoría B | Gran Guayaquil ..."|
||Cabizbajos e indignados, ayer 40 de 170 egresados de Odontología pugnaban en los exteriores de su decanato por intentar gestionar las firmas de actas que ...|educ|10 oct. 2018 -|Egresados, en dificultades por pugna en la Universidad de Guayaquil ...|
||El Consejo de Educación Superior (CES) será la autoridad encargada de decidir la prorrogación de la intervención en la Universidad de Guayaquil una vez ...|educ|7 dic. 2018 -|Diagnóstico de Universidad de Guayaquil, con presente 'agravado ...|
||Con 100 votos a favor, el pleno de la Asamblea Nacional aprobó este martes en segundo debate la Ley de creación de la Universidad Del Río, que funcionará ...|educ|20 nov. 2018 -|Ley de Universidad del Río se aprobó por unanimidad en la ...|
||El rector de la Universidad de Guayaquil, Roberto Passailaigue, anunció este viernes los nombres de los decanos y vicedecanos de 14 facultades que tiene la ...|educ|26 oct. 2018 -|"La Universidad de Guayaquil tiene 14 nuevos decanos | Comunidad ..."|
||A las 17:30 del martes 4 de julio, en plena mitad del primer semestre del año lectivo, decenas de estudiantes, en su mayoría oficinistas, avanzan por la puerta ...|educ|7 jul. 2017 -|53 mil alumnos forjan pasos en la Universidad de Guayaquil ...|
||La Universidad Santa María, ubicada en el km 4,5 de la av. Carlos Julio Arosemena, cierra obligadamente sus puertas. Así lo anunció este miércoles 07 de ...|educ|7 feb. 2018 -|Jaime Nebot sobre cierre de Universidad Santa María: A esta ...|
||CES aprueba nueva intervención a la Universidad de Guayaquil. En Quito, diez votos del Consejo de Educación Superior decidieron la presencia de una ...|educ|15 oct. 2018 -|CES aprueba nueva intervención a la Universidad de Guayaquil ...|
||Universidad de Guayaquil Ahora con matriculación en línea. Las matrículas ordinarias serán del 13 al 24 de abril, las extraordinarias del 27 de abril al 8 de ...|educ|15 ene. 2015 -|"Requisitos para entrar a la universidad | Viva | Noticias | El Universo"|
||La Universidad de Guayaquil celebró sus 151 años en el auditorio de la Facultad de Arquitectura, al norte de Guayaquil.|educ|1 dic. 2018 -|"Universidad de Guayaquil celebra aniversario 151 | Comunidad ..."|
||Durante la rueda de prensa para explicar la intervención de la Universidad de Guayaquil aprobada ayer, y que se hará de manera inmediata, Bonilla dijo que la ...|educ|16 oct. 2018 -|Hospital Universitario se devolverá a la Universidad de Guayaquil ...|
||Las autoridades de educación superior negaron esta mañana que se vayan a reabrir las 14 universidades y escuelas politécnicas que no alcanzaron los ...|educ|25 oct. 2017 -|Autoridades niegan que se vayan a reaperturar 14 universidades ...|
||Un enfrentamiento con piedras y palos se registró este jueves en la Universidad de Guayaquil, luego de que partidarios de la rectora por subrogación, Gulnara ...|educ|11 oct. 2018 -|"Nuevos disturbios en Universidad de Guayaquil | Comunidad ..."|
||Para eso se necesitan recursos, para más aulas y profesores, pero para agravar las cosas, el Estado, en lugar de crear más universidades, les recorta el ...|educ|24 sep. 2017 -|"La infraestructura, otra limitante de acceso a universidades | Ecuador ..."|
||Las becas siempre son un aliciente para los aspirantes universitarios al momento de seleccionar un centro de estudios superior. Aquí tres universidades ...|educ|15 feb. 2018 -|Opciones de becas y otras ayudas económicas en tres universidades ...|
||Al menos 22.691 nuevos cupos hay en este periodo de admisiones en carreras del tercer nivel en universidades. Augusto Barrera, principal de la Senescyt, ...|educ|23 feb. 2018 -|22 mil nuevos cupos para ir a la Universidad, anunció Senescyt ...|
||Quería estudiar Medicina en la Universidad de Guayaquil. Hace un año, cuenta, sacó 800 puntos en la prueba para ingresar a la universidad pública y no ...|educ|14 may. 2017 -|Jóvenes van a tecnológicos ante falta de cupo en la Universidad ...|
||60 instituciones ingresaron por primera vez al top 1.000 de las mejores universidades a nivel mundial, de esas 6 son de Latinoamérica.|educ|7 jun. 2018 -|Espol ingresó al ranking de las 1.000 mejores universidades del mundo|
||Tras una serie de disputas por el rectorado, a partir de hoy, unos 60.000 estudiantes pertenecientes a las distintas facultades de la Universidad de Guayaquil, ...|educ|22 oct. 2018 -|"Empiezan clases en la Universidad de Guayaquil | Comunidad ..."|
||Graduados de la Universidad de Guayaquil piden registro de títulos. estudiantes. Graduados de Medicina exigieron agilidad en registro de sus títulos ya que no ...|educ|13 nov. 2018 -|Graduados de la Universidad de Guayaquil piden registro de títulos ...|
||Un grupo de egresados de la Universidad de Guayaquil reclamaron esta mañana para que se agilite el proceso de registro de sus títulos. Ellos se juntaron en ...|educ|12 nov. 2018 -|Grupo de egresados reclama por sus títulos en ... - Guayaquil|
||El Examen Nacional para la Educación Superior (ENES) se mantendrá para aquellos estudiantes que continúen sus estudios en la universidad pública o ...|educ|23 ene. 2015 -|Exámenes ENES solo para entrar a universidades públicas o ...|
||Unos ya estudian en institutos técnicos y tecnológicos o están siguiendo cursos complementarios para su formación. Otros todavía recorren universidades ...|educ|15 may. 2017 -|Lista de espera para cupos en universidades ... - Guayaquil|
El Universo||Es imperiosa la innovación en el sistema nacional de salud, sobre todo en ciertos hospitales de la Costa. Esta petición se basa porque en la capital bananera ...|health|27 nov. 2017 -|Sobre el sistema nacional de salud|
El Universo||Como conocemos la salud es el estado de bienestar óptimo, físico, mental, emocional y social de las personas.|health|14 sep. 2016 -|La salud en el ser humano|
El Universo||La estrategia busca atender a quienes no pueden tramitar una cita en el call center del Ministerio de Salud Pública o tienen problemas de movilidad para acudir ...|health|30 sep. 2018 -|Olvidados de la red pública de salud son asistidos en el hogar con el ...|
El Universo||Luego de seis años de trámite, trece propuestas y observaciones de 858 organizaciones, el Código Orgánico de la Salud (COS) entró a la etapa de ...|health|10 jun. 2018 -|Seis años de debates de un polémico Código de la Salud|
El Universo||Agrupaciones de salud anuncian movilizaciones por la proforma de 2019. medicos-Red-Profesionales-Salud-14-nov-18-Donoso. Representantes de la Red de ...|health|14 nov. 2018 -|Agrupaciones de salud anuncian movilizaciones por la proforma de ...|
El Universo||"""Nuestros hallazgos sugieren que tener una vida emocional positiva rica y diversa puede beneficiar a la salud por los bajos niveles circulantes de inflamación"", ..."|health|26 jun. 2017 -|Una actitud positiva mejora la salud|
El Universo||Al conmemorarse este sábado 7 de abril el Día Mundial de la Salud, sencillos consejos ayudan a tener una vida saludable.|health|7 abr. 2018 -|Siete tips para mantener una vida saludable, en el Día Mundial de la ...|
El Universo||Aquellas personas que por alguna discapacidad o imposibilidad física no puedan trasladarse hacia alguna unidad de salud municipal para hacerse atender, ...|health|20 oct. 2018 -|Atención de salud a domicilio en barrios|
El Universo||Con su hija desmayada en brazos llegó al subcentro de salud de la parroquia La Victoria, cantón Salitre, el lunes 29 de mayo. Estaba deshidratada y ...|health|5 jun. 2017 -|Atención de salud es 'a medias', queja repetida en zonas rurales ...|
El Universo||Ugarte se refiere al artículo 333 del proyecto que faculta a la Autoridad Sanitaria Nacional (ASN), actualmente el Ministerio de Salud Pública, para otorgar ...|health|12 jun. 2018 -|Cannabis medicinal, otro tema polémico en Código de la Salud ...|
El Universo||El rubro destinado a la salud forma parte primaria de los presupuestos familiares en la mayoría de los ecuatorianos. Muchos lo hacen con un sistema de pago ...|health|25 abr. 2017 -|Seguros de salud, una forma de ahorro familiar en caso de ...|
El Universo||Se alistan las actividades para homenajear al Señor de la Salud en la parroquia Santiago de Bolívar (provincia de Bolívar). El pasado 21 de junio los feligreses ...|health|24 jun. 2018 -|Señor de la Salud recibirá tributo de los feligreses en Santiago de ...|
El Universo||La Federación Médica Ecuatoriana solicita al Ejecutivo modificar el presupuesto de financiamiento del sistema nacional de salud que tiene como eje solventar ...|health|23 nov. 2018 -|Federación Médica Ecuatoriana aboga por presupuesto para salud en ...|
El Universo||50.400 pacientes necesitan tratamiento para el dolor grave asociado a la salud por año en Ecuador. Cuidados paliativos Ecuador. El hospital de Solca de ...|health|18 nov. 2018 -|50.400 pacientes necesitan tratamiento para el dolor grave asociado ...|
El Universo||Viajar por placer no solo es divertido, también puede tener beneficios para la salud física y mental. Si tiene la suerte de poder viajar, estas son seis razones ...|health|31 dic. 2018 -|Seis formas en las que viajar puede mejorar su salud|
El Universo||Exvicepresidente estaba en huelga de hambre. En la casa de salud tiene resguardo policial.|health|8 nov. 2018 -|Médicos están 'tranquilos' por la salud de Jorge Glas|
El Universo||Se anuncia observatorio nacional de salud para 2019. Observatorio para la salud. Las facultades de Medicina de las universidades ecuatorianas se proponen ...|health|25 nov. 2018 -|Se anuncia observatorio nacional de salud para 2019|
El Universo||Seis años después de que arrancó la obra, en el gobierno anterior, el centro de Salud tipo C Ciudad Victoria fue inaugurado este ...|health|9 oct. 2018 -|Lenín Moreno inauguró centro de salud 'Ciudad Victoria' en Guayaquil ...|
El Universo||Desde el 2006 hasta el 2014 el monto alcanza los $ 1.749 millones. La falta de pago le resta liquidez al fondo de salud, que ha bajado su inversión en el Biess, ...|health|22 mar. 2015 -|Deuda del Estado con el IESS incide en prestación de salud ...|
El Universo||El coito influye en la liberación del estrés y en la relajación del cuerpo.|health|19 may. 2018 -|El sexo tiene un sinnúmero de beneficios para la salud|
El Universo||La ministra de Salud, Verónica Espinosa, aclaró este miércoles que en el memorando 0790 del Ministerio de Salud Pública se recuerda que los centros de ...|health|16 ago. 2017 -|Ministerio de Salud explica tema de atención médica a mujeres ...|
